"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 16 16:01:10 UTC 2026","Mon Mar 16 16:01:12 UTC 2026","1584","","Header and Footer Navigation Links","","Clicking ""My Cart (0)"" in the top navigation bar navigates to the Cart page","","Clicking ""My Cart (0)"" in the top navigation bar navigates to the Cart page","  As a user visiting the Sauce Demo site
  I want all header and footer links to be visible and navigate to the correct pages
  So that I can browse the site without broken or misdirected links"
"passed","Mon Mar 16 16:01:07 UTC 2026","Mon Mar 16 16:01:09 UTC 2026","1626","","Header and Footer Navigation Links","","Clicking ""Log In"" in the top navigation bar navigates to the Account Login page","","Clicking ""Log In"" in the top navigation bar navigates to the Account Login page","  As a user visiting the Sauce Demo site
  I want all header and footer links to be visible and navigate to the correct pages
  So that I can browse the site without broken or misdirected links"
"passed","Mon Mar 16 16:01:24 UTC 2026","Mon Mar 16 16:01:26 UTC 2026","1551","","Footer Navigation and Content Verification","","Clicking ""About Us"" in the footer navigates to the About Us page","","Clicking ""About Us"" in the footer navigates to the About Us page",""
"passed","Mon Mar 16 16:00:55 UTC 2026","Mon Mar 16 16:01:03 UTC 2026","8256","","Header and Footer Navigation Links","","Verify top navigation bar displays all expected links","","Verify top navigation bar displays all expected links","  As a user visiting the Sauce Demo site
  I want all header and footer links to be visible and navigate to the correct pages
  So that I can browse the site without broken or misdirected links"
"broken","Mon Mar 16 16:02:26 UTC 2026","Mon Mar 16 16:02:38 UTC 2026","11661","","Header and Footer Navigation Links","","Clicking ""About Us"" in the side navigation navigates to the About Us page","","Clicking ""About Us"" in the side navigation navigates to the About Us page","  As a user visiting the Sauce Demo site
  I want all header and footer links to be visible and navigate to the correct pages
  So that I can browse the site without broken or misdirected links"
"passed","Mon Mar 16 16:00:54 UTC 2026","Mon Mar 16 16:01:05 UTC 2026","11299","","Add Product to Cart","","Add product to cart from product details page","","Add product to cart from product details page",""
"passed","Mon Mar 16 16:01:23 UTC 2026","Mon Mar 16 16:01:24 UTC 2026","1655","","Footer Navigation and Content Verification","","Clicking ""Search"" in the footer navigates to the Search page","","Clicking ""Search"" in the footer navigates to the Search page",""
"broken","Mon Mar 16 16:01:37 UTC 2026","Mon Mar 16 16:01:49 UTC 2026","11708","","Footer Navigation and Content Verification","","Verify footer About Us section contains descriptive text about Sauce Demo","","Verify footer About Us section contains descriptive text about Sauce Demo",""
"passed","Mon Mar 16 16:01:29 UTC 2026","Mon Mar 16 16:01:31 UTC 2026","1548","","Header and Footer Navigation Links","","Clicking the site logo navigates back to the homepage","","Clicking the site logo navigates back to the homepage","  As a user visiting the Sauce Demo site
  I want all header and footer links to be visible and navigate to the correct pages
  So that I can browse the site without broken or misdirected links"
"passed","Mon Mar 16 16:02:02 UTC 2026","Mon Mar 16 16:02:04 UTC 2026","1809","","Footer Navigation and Content Verification","","Verify accepted payment method icons are displayed in the footer","","Verify accepted payment method icons are displayed in the footer",""
"failed","Mon Mar 16 16:00:54 UTC 2026","Mon Mar 16 16:01:01 UTC 2026","7281","","Add Product to Cart","","Add first product to cart from catalogue page","","Add first product to cart from catalogue page",""
"broken","Mon Mar 16 16:02:16 UTC 2026","Mon Mar 16 16:02:27 UTC 2026","11388","","Footer Navigation and Content Verification","","Verify footer bottom bar displays bottom navigation links","","Verify footer bottom bar displays bottom navigation links",""
"broken","Mon Mar 16 16:01:26 UTC 2026","Mon Mar 16 16:01:37 UTC 2026","11288","","Footer Navigation and Content Verification","","Verify footer displays the ""About Us"" section heading","","Verify footer displays the ""About Us"" section heading",""
"broken","Mon Mar 16 16:00:54 UTC 2026","Mon Mar 16 16:01:11 UTC 2026","16779","","Footer Navigation and Content Verification","","Verify footer displays the ""Footer"" section heading","","Verify footer displays the ""Footer"" section heading",""
"broken","Mon Mar 16 16:02:15 UTC 2026","Mon Mar 16 16:02:26 UTC 2026","11508","","Header and Footer Navigation Links","","Clicking ""Blog"" in the side navigation navigates to the News page","","Clicking ""Blog"" in the side navigation navigates to the News page","  As a user visiting the Sauce Demo site
  I want all header and footer links to be visible and navigate to the correct pages
  So that I can browse the site without broken or misdirected links"
"passed","Mon Mar 16 16:01:12 UTC 2026","Mon Mar 16 16:01:18 UTC 2026","5540","","Header and Footer Navigation Links","","Clicking ""Check Out"" in the top navigation bar navigates to the Cart page","","Clicking ""Check Out"" in the top navigation bar navigates to the Cart page","  As a user visiting the Sauce Demo site
  I want all header and footer links to be visible and navigate to the correct pages
  So that I can browse the site without broken or misdirected links"
"broken","Mon Mar 16 16:02:50 UTC 2026","Mon Mar 16 16:03:01 UTC 2026","11380","","Footer Navigation and Content Verification","","Clicking ""Search"" in the footer bottom bar navigates to the Search page","","Clicking ""Search"" in the footer bottom bar navigates to the Search page",""
"skipped","Mon Mar 16 16:03:03 UTC 2026","Mon Mar 16 16:03:04 UTC 2026","1166","","Header and Footer Navigation Links","","Facebook icon links to the correct external URL","","Facebook icon links to the correct external URL","  As a user visiting the Sauce Demo site
  I want all header and footer links to be visible and navigate to the correct pages
  So that I can browse the site without broken or misdirected links"
"broken","Mon Mar 16 16:02:38 UTC 2026","Mon Mar 16 16:02:49 UTC 2026","11494","","Header and Footer Navigation Links","","Clicking ""Wish list"" in the side navigation stays on the same page","","Clicking ""Wish list"" in the side navigation stays on the same page","  As a user visiting the Sauce Demo site
  I want all header and footer links to be visible and navigate to the correct pages
  So that I can browse the site without broken or misdirected links"
"passed","Mon Mar 16 16:00:54 UTC 2026","Mon Mar 16 16:01:02 UTC 2026","8086","","Add Product to Cart","","Verify products are displayed on catalogue page","","Verify products are displayed on catalogue page",""
"passed","Mon Mar 16 16:01:05 UTC 2026","Mon Mar 16 16:01:07 UTC 2026","1928","","Header and Footer Navigation Links","","Clicking ""About Us"" in the top navigation bar navigates to the About Us page","","Clicking ""About Us"" in the top navigation bar navigates to the About Us page","  As a user visiting the Sauce Demo site
  I want all header and footer links to be visible and navigate to the correct pages
  So that I can browse the site without broken or misdirected links"
"skipped","Mon Mar 16 16:03:04 UTC 2026","Mon Mar 16 16:03:05 UTC 2026","1194","","Header and Footer Navigation Links","","Twitter icon links to the correct external URL","","Twitter icon links to the correct external URL","  As a user visiting the Sauce Demo site
  I want all header and footer links to be visible and navigate to the correct pages
  So that I can browse the site without broken or misdirected links"
